Date,BTC-USD,ETC-USD,LTC-USD,XMR-USD,NEO-USD,XRP-USD,ZEC-USD
2019-01-05,3851.973876953125,5.24922513961792,32.34554672241211,50.55367660522461,7.616051197052002,0.356346994638443,58.57170104980469
2019-01-06,3836.51904296875,5.127677917480469,34.84721755981445,49.810367584228516,7.838132858276367,0.35475000739097595,57.95784378051758
2019-01-07,4078.5849609375,5.503090858459473,39.27975082397461,54.93288040161133,8.640107154846191,0.36885398626327515,61.886619567871094
2019-01-08,4028.47216796875,4.919729232788086,37.91899108886719,52.88706588745117,8.504512786865234,0.36441999673843384,60.73189926147461
2019-01-09,4031.552001953125,4.991425037384033,39.44645309448242,53.17095184326172,9.216575622558594,0.36588600277900696,60.648529052734375
2019-01-10,4034.411376953125,4.982232093811035,38.98713684082031,52.73325729370117,9.2084379196167,0.3714640140533447,60.48663330078125
2019-01-11,3674.015380859375,4.428894996643066,33.683475494384766,45.484535217285156,7.940423965454102,0.3312839865684509,54.960968017578125
2019-01-12,3686.97314453125,4.48047399520874,32.456207275390625,45.79354476928711,7.945746898651123,0.3330039978027344,56.236602783203125
2019-01-13,3658.8681640625,4.557948112487793,32.39582443237305,45.001197814941406,7.741147994995117,0.3286620080471039,56.233055114746094
2019-01-14,3557.31103515625,4.2524871826171875,30.378097534179688,43.108333587646484,7.2245001792907715,0.3183540105819702,53.40719985961914
2019-01-15,3704.21630859375,4.3505120277404785,32.38420486450195,45.82072448730469,7.987151145935059,0.3339119851589203,55.891204833984375
2019-01-16,3631.509765625,4.211446762084961,31.438589096069336,44.892608642578125,7.629090785980225,0.3269459903240204,53.9113655090332
2019-01-17,3651.87109375,4.319052219390869,31.850112915039062,46.16082763671875,7.748441219329834,0.32969000935554504,53.19062042236328
2019-01-18,3677.990478515625,4.512472152709961,31.913450241088867,45.64878845214844,7.869266033172607,0.3291960060596466,54.74917221069336
2019-01-19,3652.3779296875,4.39551305770874,31.480209350585938,45.27385330200195,7.719779014587402,0.3257020115852356,53.3190803527832
